subscriber_id,first_name,last_name,region,plan_type,join_date,status
00001,Oscar,Bishop,East of England,Premium,25/08/2023,active
00002,Poppy,Wallace,Scotland,Basic,29/11/2019,active
00003,Ivy,Begum,Scotland,Standard,22/07/2019,cancelled
00004,Alfie,Ali,Northern Ireland,Premium,17/05/2019,active
00005,Matilda,O'Sullivan,Scotland,Basic,22/04/2024,cancelled
00006,Layla,Mehta,London,Premium,10/03/2023,active
00007,Isla,O'Brien,South West,Basic,04/08/2023,active
00008,Liam,Crawford,Scotland,Premium,02/10/2019,active
00009,Robyn,Campbell,London,Premium,12/04/2023,active
00010,Ruby,Wallace,London,Basic,19/03/2019,active
00011,Andrew,O'Connor,North East,Standard,21/10/2021,active
00012,Helen,Hughes,North West,Premium,03/04/2021,active
00013,Ruth,Shah,Wales,Standard,13/08/2020,active
00014,Naomi,Henderson,South West,Premium,21/08/2020,active
00015,Riya,Kelly,East of England,Standard,08/07/2022,cancelled
00016,Bella,Morris,North West,Basic,10/12/2023,active
00017,Liam,Byrne,North West,Premium,07/07/2020,active
00018,Harper,Singh,South West,Standard,26/07/2023,active
00019,Tracey,James,South West,Basic,21/03/2021,active
00020,Naomi,Owen,Northern Ireland,Standard,29/10/2023,active
00021,Beatrice,Henderson,North West,Standard,11/05/2021,active
00022,Lisa,Jones,Midlands,Premium,23/06/2024,active
00023,Lisa,Iyer,South East,Standard,02/12/2021,active
00024,Joel,Parker,Scotland,Standard,16/08/2021,active
00025,Ibrahim,Ward,London,Premium,29/11/2022,active
00026,Sinead,Wright,North West,Basic,23/01/2022,active
00027,Henry,Choudhury,Yorkshire,Basic,07/11/2019,active
00028,Riya,Bevan,Yorkshire,Standard,27/03/2023,active
00029,Linda,Iyer,London,Premium,19/10/2021,active
00030,Noah,Gwynne,Scotland,Premium,14/02/2020,active
00031,Paul,Gibson,South West,Basic,24/04/2021,cancelled
00032,Janet,Joshi,Yorkshire,Basic,03/11/2021,cancelled
00033,Iwan,James,North West,Standard,01/03/2024,active
00034,Aisha,Young,Midlands,Standard,23/01/2022,cancelled
00035,Jamie,O'Brien,North West,Basic,20/05/2020,cancelled
00036,Reuben,Owen,Scotland,Standard,30/01/2019,active
00037,Carol,Ahmed,Midlands,Basic,01/10/2020,cancelled
00038,Alexander,Mills,North West,Standard,18/01/2020,active
00039,Liam,Greenwood,Wales,Basic,11/09/2019,active
00040,Zara,Robinson,Northern Ireland,Premium,30/06/2019,active
00041,Ivy,Mitchell,East of England,Standard,23/04/2020,active
00042,Tommy,Saunders,South West,Premium,14/06/2020,active
00043,Aaliyah,Brennan,South West,Basic,02/07/2021,active
00044,Becky,Quinn,Yorkshire,Basic,15/08/2021,cancelled
00045,Sinead,Iqbal,London,Basic,13/08/2023,active 
00046,Beatrice,Lloyd,North West,Premium,20/06/2023,cancelled
SW-00047,Isla,Hussain,North West,Standard,18/05/2022,cancelled
00048,Aidan,Lee,North West,Standard,17/07/2022,active
00049,Brian,Jones,south east,Basic,05/02/2024,active
00050,Tommy,Clark,South West,Standard,17/10/2019,active
00051,Aoife,Lynch,Scotland,Standard,08/09/2022,active
00052,Priya,Walker,North East,Basic,01/03/2022,active
00053,Mariam,O'Sullivan,North West,Basic,12/09/2022,active
00054,Zara,Wright,North West,Standard,22/06/2023,active
00055,Joel,Black,North East,Premium,20/02/2023,active
00056,Eilidh,Moore,London,Basic,07/06/2020,active
00057,Heidi,Greenwood,London,Standard,22/07/2022,active
00058,Thomas,Pearce,East of England,Premium,12/05/2020,active
00059,Caroline,Henderson,South East,Standard,23/03/2024,active
00060,Chris,Lynch,Wales,Basic,04/02/2021,active
00061,Layla,King,South West,Standard,20/12/2023,active
00062,Maeve,Pearson,East of England,Standard,12/11/2022,cancelled
00063,Annabelle,Rahman,North West,Standard,01/05/2023,cancelled
00064,Ethan,Phillips,East of England,Premium,30/09/2022,active
00065,Leo,Scott,Yorkshire,Basic,26/02/2022,active
00066,Christopher,Khan,Yorkshire,Premium,11/04/2020,cancelled
00067,Joel,Bird,South West,Standard,05/01/2023,cancelled
00068,Iwan,Bradshaw,Yorkshire,Premium,30/04/2022,cancelled
00069,Anna,Joshi,Scotland,Basic,24/12/2021,cancelled
00070,Peter,Reid,Yorkshire,Standard,01/01/2022,active
00071,Bella,Mitchell,Wales,Premium,16/03/2020,active
00072,Logan,Harrison,Midlands,Basic,02/10/2019,active
00073,Owen,Watson,London,Premium,17/06/2020,cancelled
00074,Lucas,Black,Yorkshire,Standard,19/02/2022,cancelled
00075,Cian,Pearson,North West,Standard,26/03/2019,cancelled
00076,Elsie,Lee,Midlands,Standard,16/12/2022,active
00077,Liam,Brennan,South West,Standard,22/06/2021,cancelled
00078,Matilda,Holland,Northern Ireland,Basic,12/04/2020,active
00079,Edith,Holmes,North East,Premium,30/04/2021,active
00080,Beatrice,Sheikh,Northern Ireland,Standard,03/04/2024,active
00081,Imogen,Lynch,Midlands,Premium,22/02/2023,active
00082,Esme,Bevan,Scotland,Basic,01/05/2023,cancelled
00083,Becky,Walker,London,Basic,19/07/2020,active
00084,Matthew,Pearson,South East,Standard,07/02/2021,active
00085,Ian,Young,South East,Standard,08/05/2021,active
00086,Niamh,Reilly,North East,Basic,08/10/2021,active
00087,Patrick,Jones,North East,Basic,15/06/2019,active
00088,Layla,Allen,London,Premium,17/05/2022,active
00089,Niamh,Harrison,South West,Basic,18/01/2021,active
00090,Priya,Ali,East of England,Standard,15/03/2023,cancelled
00091,Erin,Jones,South East,Premium,23/04/2024,active
00092,Sebastian,McDonald,South West,Basic,19/05/2019,active
00093,Anika,James,Wales,Standard,14/03/2019,active
00094,Amelia,Stewart,Yorkshire,Premium,13/11/2019,cancelled
00095,Esme,Pugh,South East,Standard,22/09/2019,active
00096,Caleb,Edwards,South West,Standard,28/01/2023,active
00097,Diane,Smith,South West,Premium,19/10/2022,cancelled
00098,Joshua,Cooper,South West,Premium,22/04/2021,active
00099,Henry,Harris,London,Standard,07/08/2023,active
00100,Riley,Wood,South East,Standard,25/10/2022,cancelled
00101,Olivia,Kaur,East of England,Basic,17/05/2024,active
00102,John,Mitchell,South West,Basic,12/05/2021,active
00103,Matilda,Iyer,Wales,Standard,06/07/2022,active
00104,Benjamin,Stevens,Northern Ireland,Premium,02/05/2020,active
00105,Marjorie,Reilly,North East,Basic,18/12/2020,active
00106,Edith,Kelly,North West,Basic,09/04/2020,active
00107,Patrick,Stevens,Midlands,Premium,09/12/2020,cancelled
00108,Imogen,Bishop,East of England,Basic,01/07/2020,active
00109,Charlie,Davis,Northern Ireland,Basic,17/07/2023,cancelled
00110,Alexander,Fletcher,South East,Standard,15/04/2020,active
00111,Logan,Price,North West,Standard,15/07/2022,active
00112,Christopher,Reilly,East of England,Basic,04/12/2019,active
00113,Bronwen,Price,Midlands,Standard,24/03/2024,cancelled
00114,Caroline,Mehta,South East,Premium,01/03/2021,active
00115,Becky,Green,Midlands,Basic,12/02/2024,active
00116,Aisha,Jackson,Scotland,Premium,18/01/2024,active
00117,Aidan,Cox,Yorkshire,Standard,23/10/2023,cancelled
00118,Joyce,Mehta,North West,Basic,15/06/2022,active
00119,Emily,Owen,Midlands,Basic,24/01/2021,active
00120,Evie,Stevens,Yorkshire,Basic,20/09/2022,cancelled
00121,Lottie,Sims,South West,Basic,14/08/2019,active
00122,Benjamin,Green,North West,Basic,12/10/2020,cancelled
00123,Fatima,Sharma,South East,Premium,19/01/2021,cancelled
00124,Daisy,Lynch,North West,Premium,29/08/2021,active
00125,Anya,Kennedy,North East,Basic,30/03/2024,active
00126,Oliver,Pearce,Northern Ireland,Standard,07/03/2024,cancelled
00127,Janet,Clark,Northern Ireland,Basic,11/03/2023,active
00128,Hannah,Berry,North East,Basic,28/06/2023,active
00129,Daisy,Llewellyn,Northern Ireland,Premium,12/12/2020,active
00130,Cerys,Gibson,South East,Basic,04/10/2023,active
00131,Ethan,Rao,Midlands,Standard,30/03/2019,active
00132,Adam,Harris,North East,Standard,30/07/2021,cancelled
00133,Stuart,Pugh,North East,Standard,23/10/2022,active
